url,ticket,score
tensorflow/tensorflow/commit/3218043d6d3a019756607643cf65574fbfef5d7a,50669,0.8624745407791661
tensorflow/tensorflow/commit/23968a8bf65b009120c43b5ebcceaf52dbc9e943,53882,0.9731690907383764
tensorflow/tensorflow/commit/b64638ec5ccaa77b7c1eb90958e3d85ce381f91b,53885,0.8811492872426129
tensorflow/tensorflow/commit/37c01fb5e25c3d80213060460196406c43d31995,53878,0.965327055870563
tensorflow/tensorflow/commit/58b34c6c8250983948b5a781b426f6aa01fd47af,53891,0.7767193556636438
tensorflow/tensorflow/commit/002408c3696b173863228223d535f9de72a101a9,53887,0.6940277673387896
tensorflow/tensorflow/commit/08d7b00c0a5a20926363849f611729f53f3ec022,53894,0.9526964140696801
tensorflow/tensorflow/commit/e3749a6d5d1e8d11806d4a2e9cc3123d1a90b75e,53897,0.7498766468737771
tensorflow/tensorflow/commit/f68fdab93fb7f4ddb4eb438c8fe052753c9413e8,53900,0.9488295773205477
tensorflow/tensorflow/commit/f57315566d7094f322b784947093406c2aea0d7d,53920,0.7493744671534884
tensorflow/tensorflow/commit/ba4e8ac4dc2991e350d5cc407f8598c8d4ee70fb,53923,0.7969361068372364
tensorflow/tensorflow/commit/965b97e4a9650495cda5a8c210ef6684b4b9eceb,53929,0.9455052249891259
tensorflow/tensorflow/commit/7019ce4f68925fd01cdafde26f8d8c938f47e6f9,53932,0.9615644185310475
tensorflow/tensorflow/commit/6f4d3e8139ec724dbbcb40505891c81dd1052c4a,53948,0.9710560348804194
tensorflow/tensorflow/commit/53b0dd6dc5957652f35964af16b892ec9af4a559,53935,0.8759509391670627
tensorflow/tensorflow/commit/2b7100d6cdff36aa21010a82269bc05a6d1cc74a,54128,0.562126637373769
tensorflow/tensorflow/commit/adbbabdb0d3abb3cdeac69e38a96de1d678b24b3,8828,0.5162357861632728
tensorflow/tensorflow/commit/e5b0eec199c2d03de54fd6a7fd9275692218e2bc,53958,1.0
tensorflow/tensorflow/commit/8c6f391a2282684a25cbfec7687bd5d35261a209,53955,0.6933523866368215
tensorflow/tensorflow/commit/a1e1511dde36b3f8aa27a6ec630838e7ea40e091,53961,0.8709976901573565
tensorflow/tensorflow/commit/1de49725a5fc4e48f1a3b902ec3599ee99283043,29058,0.6870072804376529
